g_names
PSMA3
RPL24
FXR1
MLL3
S100A4
ARF4
TALDO1
AKT1
MYEF2
CLEC4N
CLEC4B1
RPS12
GTF2I
RBBP4
DNMT1
TBCA
RLIM
GNB2L1
TSPO
EZH2
HDGF
PLEK
M6PR
SRSF3
RNF4
MAPK3
ATP6V0C
RFC1
CAPG
ATP5J
SFPI1
SNRPE
POLR2I
PDPN
IFITM3
CALR
TMBIM4
S100A11
S100A1
CKS1B
PCNP
ZBTB7A
TNFSF9
TNIP3
PSMA2
HOPX
EIF3E
MGL2
CALM2
NME2
POLR2E
MAPK14
CTSD
1500032L24RIK
KLF10
SLAMF7
FOXJ3
NFAT5
TANK
COX6C
BTF3
RPL30
HDAC1
PSMB2
UBA52
FCER1G
DAB2
ATP5G3
TPM4
FAU
CREM
SNRPD1
MCM6
COX7C
UQCR11
PRDX1
NDUFA1
STAT1
RDBP
PARP1
RPL12
SLC25A5
CIC
RPL34
EIF3I
CHI3L3
DDX5
PREB
PTP4A1
STAT6
MAP1LC3B
ATP5L
FLI1
PSMA1
UBP1
MYL12B
LASS5
DQ539915
H3F3B
CXCL16
SHFM1
HMGB2
ZMYND11
NDUFS5
POLR2C
PSME1
XBP1
HMG20B
CNOT8
RGS1
PKM2
IL1A
SRSF1
S100A6
JMJD1C
TCEB1
NR3C1
NDUFA6
CTCFL
ARID1A
SMARCA4
IFITM2
PA2G4
PSMB1
SRSF5
RPL23A
H1F0
CD63
COPS5
ATP5B
LASS2
PBRM1
ATP5O
THRAP3
RPS3A
RBPJ
NOTCH2
ACTB
2310016C08RIK
WHSC1L1
PTGES3
ELF2
MRPL33
CNOT2
POMP
TRAPPC2L
ATP5G1
REL
KRTCAP2
SRRM1
OSTC
NFKBIZ
MYD88
TLR4
RPS10
CBFA2T3
PLA2G7
JUN
TM7SF4
SAT1
PRDX5
CXXC1
RPL41
LAMP1
RPS15
IDH1
HN1
KDM5A
IRF5
RPSA
EIF5B
PPIB
DBI
COPE1
NR4A1
SIRT2
EMP3
PAPOLA
GTF2A2
RPL13
NDUFB7
HNRNPK
TIMM23
YWHAZ
MCM7
H2-DMB1
APRT
TXN1
CD14
SMAD2
B2M
PFN1
AIP
TRIM28
ELF1
TRIM30A
SEPW1
PPIA
RPL27
NDUFB4
CEBPA
TCERG1
HNRNPAB
CAPNS1
UBE2K
CD9
ATOX1
CD302
CTCF
FTL1
RPLP0
H2-K1
ZFP36L1
CCL6
SBDS
NFKBIA
CLEC4D
LGALS3
LAMP2
TECR
GM10653
RPS7
RAB32
YWHAE
RPL8
UBB
AFF4
HHEX
FOXN2
RBM39
RPL36
SFPQ
RPLP2
MRPL20
HTATIP2
SIRT7
LMO4
RNF149
TLR2
RPS27A
SLIRP
SOD1
SUPT5H
ZFP410
4933434E20RIK
RBL2
TMEM50A
RPS17
LDB1
MAPK1
PSMB8
GTF2A1
NCOA4
PFDN5
ID3
TAGLN2
RPL38
CBFB
PLAUR
HINT1
KDM6B
CHMP5
ATPIF1
RPL10
SLFN2
NEDD8
COX6B1
ATF2
CISH
GPNMB
SUMO1
TMEM14C
MRPL42
IRF4
CTSZ
TNF
PRR13
NONO
DNAJC2
VDAC2
DSTN
TUBA1A
TRF
KLF13
COX4I1
GLIPR1
NFIL3
SP100
PRELID1
TSC22D4
GTF2E2
VPS28
FXYD5
GATAD2A
POLR2J
GNG5
NAMPT
ANXA5
POLR2G
IRF2
NAP1L4
ALOX5AP
SDC4
SRGN
RPL23
EDF1
CD74
SP1
RPS27
BHLHE40
JUNB
FABP5
RPL32
POLR2B
NCOR2
SNRPG
FOS
VDR
YEATS4
ATP5C1
SEPT2
RPL18A
COX7A2L
CCRL2
